,contract address,Token_id,sales_price,timestamp,owner_id,bids_count,sales_count,parcels_list,parcels_count,status (label),"adjacency [road, district, plaza]",coordination-est,mana_price,land_price
1104,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907819241747973546717693120123264736308494356,7420000000000000000000,1644826608000,0xef1bce3a53b010ecee410b64be8204d14bdc9f86,1,1,"['-100,20']",1,parcel,"[[4, 0, 0]]","[-100.0, 20.0]",2.8450160166572074,2.111001884359648e+22
1105,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,4763953136893138488487244504044754960281,6444000000000000000000,1644002477000,0x28f18d9ad8730e0de394e9b5c4dd8df178e73de4,0,1,"['13,-102', '13,-103']",2,road,"[[0, 0, 0], [0, 0, 0]]","[13.0, -102.5]",2.827924994351074,1.822314866359832e+22
1106,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907805970735663630117618048513574897348247512,5497000000000000000000,1646303985000,0x959e104e1a4db6317fa58f8295f586e1a978c297,0,1,[],0,,[],[0],2.758728169682906,1.5164728748746933e+22
1107,0x959e104e1a4db6317fa58f8295f586e1a978c297,53,111111000000000000000000,1641281114000,0xc143759083a5cc47b8f23e1a8aa8fddb6ebf6041,7,3,"['-75,-63', '13,14', '22,89']",3,road,"[[1, 0, 3], [2, 0, 4], [3, 2, 0]]","[-13.333333333333334, 13.333333333333334]",3.2654965487737213,3.6283258703079696e+23
1108,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907842721231291091471672092971177528315084777,4850000000000000000000,1641786798000,0x134c2d86cd7439aff217a98d58549da30c937380,0,3,"['-73,38', '-64,-130', '-32,-23']",3,road,"[[0, 2, 0], [0, 0, 0], [0, 0, 0]]","[-56.333333333333336, -38.333333333333336]",2.955280483500563,1.433311034497773e+22
1109,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907833193325017305194695118482169438805164166,5198000000000000000000,1644288673000,0xc7fa9bd7a3ad79a3d1279df11ce98654d01c41aa,0,2,"['-59,134']",1,parcel,"[[3, 0, 0]]","[-59.0, 134.0]",3.3015594156099715,1.7161505842340634e+22
1110,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907844422643125696163989409844214687156142032,5999000000000000000000,1641480717000,0x959e104e1a4db6317fa58f8295f586e1a978c297,0,1,[],0,,[],[0],3.3829650695793463,2.0294407452406497e+22
1111,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907806311018030551056081511888182329116458968,5491000000000000000000,1643024659000,0x6adf3bea0dc42ce10e33fbc6e819a6d681eb9e16,0,2,"['-139,-40']",1,parcel,"[[3, 0, 0]]","[-139.0, -40.0]",2.1191673192784792,1.163634775015813e+22
1112,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,47979813735852323348335819647879317815238,4511000000000000000000,1641387718000,0xe22c9179a031a412974207447cb19d45efab410f,0,1,"['140,-57', '140,-58', '141,-58']",3,road,"[[9, 1, 0], [9, 1, 0], [8, 2, 0]]","[140.33333333333334, -57.666666666666664]",2.9390688380014987,1.3258139528224762e+22
1113,0x959e104e1a4db6317fa58f8295f586e1a978c297,3648,9000000000000000000000,1645787609000,0xe16803d17b62b06f6a779c92cca649fd2b80c95f,2,1,[],0,,[],[0],2.5999641960296045,2.339967776426644e+22
1114,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,45257554800484815640628822788425172123611,8550000000000000000000,1643108910000,0x2e4c66e63a271db2c81aba7b4881c5bdb59d1887,2,1,"['132,-37']",1,parcel,"[[0, 1, 0]]","[132.0, -37.0]",2.097272260649448,1.7931677828552782e+22
1115,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,47639531368931384884872445040447549603823,4100000000000000000000,1641003967000,0x7249b7fe2ae88eebf51aa0f0abd50a6bdca7eb51,0,1,"['138,-17', '139,-17']",2,road,"[[0, 0, 0], [0, 0, 0]]","[138.5, -17.0]",3.2837753609862053,1.3463478980043442e+22
1116,0x959e104e1a4db6317fa58f8295f586e1a978c297,4630,31999000000000000000000,1643356038000,0x9051c2a11a9d2405f4228db6aee00291f4c11bba,3,2,"['-6,25', '-6,24', '-5,25', '-5,24']",4,land,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[-5.5, 24.5]",2.26664990562353,7.253053033004733e+22
1117,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907844762925492617102452873218822118924353495,5149000000000000000000,1642167242000,0xc54a189dd31a6ba725c297429da226856a198125,1,1,"['-26,-41']",1,parcel,"[[8, 0, 0]]","[-26.0, -41.0]",2.9626491224649576,1.5254680331572067e+22
1118,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907820943159808151410010436996301895149551594,7700000000000000000000,1641882358000,0x1156bf625b37623a86d004e66e0a01ec4b17e051,4,4,"['-96,-21', '-96,-22', '-95,-21']",3,road,"[[0, 1, 0], [1, 2, 0], [0, 1, 0]]","[-95.66666666666667, -21.333333333333332]",2.832719320096719,2.1811938764744735e+22
1119,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,20757224382177246271265851053337860898797,5349000000000000000000,1643211665000,0x4c1f9ea2581f08551332ef52f0ff131a661e0946,0,1,"['-73,-105', '58,-20', '60,-17', '60,-19']",4,road,"[[0, 0, 0], [6, 9, 0], [8, 7, 0], [8, 7, 0]]","[26.25, -40.25]",2.1741773039497394,1.1629674398827156e+22
1120,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907840679537089565840891312723532937705816153,8888000000000000000000,1643885846000,0xe6dcf90f6486978ea42bb68f69653111875105de,13,9,"['-136,-37', '-41,90', '-41,89', '-37,89']",4,road,"[[0, 0, 0], [3, 5, 0], [3, 5, 0], [3, 5, 0]]","[-63.75, 57.75]",2.559175162581649,2.2745948845025696e+22
1121,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907805970735663630117618048513574897348247428,4650000000000000000000,1645260342000,0x71827e1b2b0585eef3b8746fd5a2f63ab5828cbf,2,1,"['-140,-124']",1,parcel,"[[0, 0, 0]]","[-140.0, -124.0]",2.9895687131982625,1.390149451637192e+22
1122,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907852929702298719625575994209400481361428422,8888000000000000000000,1644410331000,0x716cab0d2daf76c392bb6dd9c1e8335546da0452,0,1,"['-2,-58']",1,parcel,"[[0, 0, 0]]","[-2.0, -58.0]",3.3539721443673747,2.9810104419137228e+22
1123,0x959e104e1a4db6317fa58f8295f586e1a978c297,4524,30000000000000000000000,1644136538000,0x9216157d65b04a9fc55858a34ee5466ffd48f194,1,1,"['43,80', '43,79', '44,81', '44,80', '44,79']",5,land,"[[6, 0, 8], [6, 0, 8], [7, 0, 9], [6, 0, 8], [5, 0, 7]]","[43.6, 79.8]",3.047315041602274,9.141945124806821e+22
1124,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907842040666557249594745166221962664778661878,4300000000000000000000,1645601015000,0xc9aa3445ddb743219c930449d5fad7e8dd3f999e,1,3,"['-34,-10']",1,parcel,"[[8, 0, 0]]","[-34.0, -10.0]",2.646401249777144,1.1379525374041718e+22
1125,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,11909882842232846221218111260111887400935,5999000000000000000000,1644599935000,0x959e104e1a4db6317fa58f8295f586e1a978c297,2,3,[],0,,[],[0],2.934937766523291,1.7606691661373225e+22
1126,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,4763953136893138488487244504044754960433,9999000000000000000000,1644001674000,0x17501cdb121f32b8c83ab9921fd6832543c202c3,4,1,"['14,49']",1,parcel,"[[0, 2, 0]]","[14.0, 49.0]",2.827924994351074,2.8276422018516388e+22
1127,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,680564733841876926926749214863536422975,15000000000000000000000,1643483790000,0xd1b788a5265d140a76ccf911d204fb699ae6deb7,0,1,"['2,63', '3,63']",2,road,"[[0, 0, 0], [0, 0, 0]]","[2.5, 63.0]",2.3763648429587017,3.5645472644380523e+22
1128,0x6b47e7066c7db71aa04a1d5872496fe05c4c331f,571,398000000000000000000,1644825130000,0x62f833a46853572a1e24650ebe4d47bab445f096,0,1,[],0,,[],[0],2.8450160166572074,1.1323163746295685e+21
1129,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907819241747973546717693120123264736308494273,5000000000000000000000,1642656691000,0xb24b20cab56401bec9de589efea541e9cdcf547b,0,2,"['-101,-63']",1,parcel,"[[0, 0, 0]]","[-101.0, -63.0]",2.743729245505247,1.3718646227526234e+22
1130,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,2722258935367507707706996859454145691599,10000000000000000000000,1645039215000,0xece7cae91e411fe24d067e54ea572e748a36048b,0,1,"['7,-49', '49,74']",2,road,"[[0, 0, 0], [0, 0, 2]]","[28.0, 12.5]",3.281030614668921,3.281030614668921e+22
1131,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,14632141777600353928925108119566033092667,5349000000000000000000,1645426665000,0xa6a0c695f37cb2d5fcbf3bc151e11f37dac575c5,1,1,"['43,59']",1,parcel,"[[6, 3, 8]]","[43.0, 59.0]",2.7121559002340634,1.4507321910352004e+22
1132,0x959e104e1a4db6317fa58f8295f586e1a978c297,2508,10000000000000000000000,1641539000000,0xc5988d94fe3feff56d3c33bd761608657c9dcc78,1,1,"['120,-36', '121,-36']",2,road,"[[1, 2, 0], [1, 2, 0]]","[120.5, -36.0]",3.3829650695793463,3.3829650695793465e+22
1133,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907812776383002048886887316005723532712476644,6333000000000000000000,1642269589000,0xb375e0c12bfa084d269dcbf412ea1d6b100aae5d,3,2,"['-147,23', '-120,-28']",2,road,"[[0, 4, 0], [0, 8, 0]]","[-133.5, -2.5]",2.9998911780482875,1.8998310830579806e+22
1134,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907805970735663630117618048513574897348247511,5279000000000000000000,1646301666000,0x959e104e1a4db6317fa58f8295f586e1a978c297,0,1,[],0,,[],[0],2.758728169682906,1.4563326007756062e+22
1135,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907839318407621882087037459225103210632970365,5268000000000000000000,1642566351000,0x8b40b6a00528b70eab0a412d14d8b437ed294dff,0,1,"['-41,125']",1,parcel,"[[1, 5, 0]]","[-41.0, 125.0]",2.8616232703619104,1.5075031388266544e+22
1136,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,45257554800484815640628822788425172123654,5388000000000000000000,1644287252000,0x75c7bb440cbe3ebbec87711cfd2179b387e93528,0,2,"['133,6']",1,parcel,"[[5, 1, 0]]","[133.0, 6.0]",3.3015594156099715,1.7788802131306526e+22
1137,0x959e104e1a4db6317fa58f8295f586e1a978c297,1353,43000000000000000000000,1641774050000,0x6baba143160f3485bcf58dead612219894883cad,3,2,"['13,88', '13,87', '13,86', '14,88', '14,87', '14,86', '15,88', '15,87', '15,86']",9,land,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[14.0, 87.0]",2.955280483500563,1.2707706079052422e+23
